location_id,occupied_slot,waiting_to_be_charged,estimated_time_to_charge,station_id
61,"['ea893174-0425-4a41-9ff2-f53f4086f781', 0, 0, 0, 0]",[],"[np.float64(80.8641624982047), 0, 0, 0, 0]",5ed0d3cb-6948-45c6-9afe-257f2b88a29d
110,"[0, 0, 0, 0, 0]",[],"[0, 0, 0, 0, 0]",c1a0b0bd-0868-40fa-9d42-c327850b295c
99,"['121b3cf5-7024-4511-80b5-54c530c0ace4', 'b516235c-891f-4cdc-b11d-995291ef3631', 0, 0, 0]",[],"[np.float64(193.3427873312415), np.float64(265.47486570755717), 0, 0, 0]",3ecb8037-909e-494e-b514-61d6cabc1624
18,"['a7c34fb6-d39b-40a1-b7e4-11f5b8cd896b', 'f8d03812-1e52-42bb-a4b3-74f10adeefe0', 0, 0, 0]",[],"[np.float64(94.55999933810179), np.float64(114.01999967628612), 0, 0, 0]",cf4470f5-5426-4bb3-999e-d2fd02601f60
242,"[0, 0, 0, 0, 0]",[],"[0, 0, 0, 0, 0]",e1e4584a-447d-4dcb-95a5-a0c4b79ac428
172,"[0, 0, 0, 0, 0]",[],"[0, 0, 0, 0, 0]",22eabe57-abbd-479f-a297-9bdc68313d6d
142,"['ac603700-ca4d-4900-86e5-7e8c343ff5bd', 0, 0, 0, 0]",[],"[np.float64(158.00254284121087), 0, 0, 0, 0]",ff02ab23-4fed-4e03-97a7-0b781f004a35
154,"['e3a3695e-3483-4397-a80e-a094dfa32919', 0, '6f2b1bc0-d262-4520-9774-c261ea43fed6', 0, 0]",[],"[np.float64(180.8160713185908), 0, np.float64(80.16558337830878), 0, 0]",2373b3d0-6981-430a-a453-7bc5a02d92b9
219,"['a20474c1-e2bc-483d-890d-47a59e4ed549', 'b5cf251a-7647-4d99-943a-53800c44cee3', '70b6150d-bfb4-4a75-b608-cf3318e89818', 0, 0]",[],"[np.float64(112.05607841352273), np.float64(142.19699059766293), np.float64(196.86133871120649), 0, 0]",f458f663-43ea-497e-b123-741ccbad587c
207,"['0308091b-e303-43ca-9e80-e896cb2f1136', '2becf191-3f84-4e51-82f1-10a6528b7bd7', '92db4414-e8e7-4424-b03e-4a54185343ce', 0, 0]",[],"[np.float64(23.7910505234355), np.float64(82.88098669013203), np.float64(264.82399356107743), 0, 0]",e0b3bbbd-adc7-4f95-988b-f1433ced3f99
98,"['b6b169ae-306c-43e5-8bcd-7a4ad5f1fbfd', 'd6c011ef-d21c-4224-9303-da486b31a6a5', 0, 0, 0]",[],"[np.float64(265.2173163850143), np.float64(287.7156246963147), 0, 0, 0]",f76e01ce-108a-4def-9608-c894841b3003
259,"['382a8039-bee4-4bb4-ae18-8b3de2cf8330', '31e35d6d-87b7-48c0-9d9b-432227a9a84b', 0, 0, 0]",[],"[np.float64(247.91218455134327), np.float64(263.04158359571306), 0, 0, 0]",09b25a67-784a-4b4f-a700-36307bbc9530
32,"[0, 0, 0, 0, 0]",[],"[0, 0, 0, 0, 0]",67ab1689-c323-4ac4-b753-e76a3782aca8
69,"['f97d3d72-7834-4761-9bae-f65acdce1917', 0, 0, 0, 0]",[],"[np.float64(32.629091727341574), 0, 0, 0, 0]",2fcc1c50-578f-4155-bf88-dd4a79db03ba
199,"[0, 0, 0, 0, 0]",[],"[0, 0, 0, 0, 0]",907274aa-7b42-4613-b6aa-4fff23967742
145,"['10a0131d-0265-4301-988b-dcc66295bff9', '1b45ce18-bc89-4d7c-8cf2-1ab0bb9cc935', 'd0a7c5da-0307-4803-9bb3-0b76c9b3f98d', '62aae3c3-9230-44a1-80e0-a36f7feea655', '19d2d010-a360-458b-93eb-e4ecca319b21']",[],"[np.float64(242.20608152110614), np.float64(101.52158736879352), np.float64(41.49649347946223), np.float64(120.96414359442628), np.float64(260.85255199720183)]",09c79840-a176-42eb-8f0e-9834ed0e395a
204,"[0, 0, 0, 0, 0]",[],"[0, 0, 0, 0, 0]",8e4f9e7f-a99a-4013-8b07-d0b13e63ad0d
62,"[0, 0, 0, 0, 0]",[],"[0, 0, 0, 0, 0]",2695e4ae-ac05-4395-95ff-e7ade21d921e
127,"[0, 0, 0, 0, 0]",[],"[0, 0, 0, 0, 0]",44d2ea3e-51ef-4a0c-b148-f4a0ac479cc3
152,"[0, 0, 0, 0, 0]",[],"[0, 0, 0, 0, 0]",3a1997b6-716c-406c-a5b5-1835fdce6aa6
